,Rx,Tx,MPP Start Time (s),MPP Stop Time (s),Voltages (mV),Frequency (MHz),Run Exp Num,NumMPPs,Laser dist,Tape dist
0,Tag1,Tag2,1757344899.2758472,1757344900.5764644,"[104.87 104.18 104.49 104.41 104.1  104.26 104.03 104.26 104.26 104.18
 110.89 110.67 110.51 110.59 110.44 110.44 110.51 110.21 110.36 110.74
 114.79 114.63 114.4  114.56 114.63 114.79 114.56 114.79 114.48 114.63
  99.15  99.45  99.37  99.3   99.07  99.3   98.99  99.3   99.37  98.61
  98.76  98.99  99.22  98.92  98.76  98.84  99.15  99.07  98.99 101.74
 102.04 101.89 101.66 101.36 101.28 101.89 101.66 101.43 101.89 104.26
 104.41 103.88 104.26 104.18 104.41 104.1  104.03 104.33 104.49 110.44
 110.44 110.59 110.44 110.67 110.51 110.28 110.28 110.67 110.59 114.63
 114.48 114.4  114.79 114.71 114.48 114.1  114.56 114.48 114.25  99.6
  99.3   99.3   99.15  99.15  99.15  99.15  99.15  99.45  99.15  99.37
  98.76  99.3   99.22  98.84  99.07  98.99  99.37  99.07 101.28 101.97
 101.74 101.51 101.43 101.82 101.82 101.59 101.97 101.05 104.26 104.1
 104.1  103.95 104.33 104.56 103.88 104.41 104.03 104.41 110.44 110.67
 110.28 110.82 110.44 110.59 110.44 110.89 110.74 110.67 114.48 114.1
 114.56 114.25 114.79 114.63 114.33 114.4  114.71 114.4   99.22  98.99
  99.37  99.15  99.15  99.07  99.22  99.22  98.99  99.3   99.6   99.37
  99.15  98.84  99.07  98.99  99.3   99.22  98.69 101.97 101.89 101.74
 101.74 101.89 101.66 101.74 101.89 101.51 101.66 103.8  104.18 104.33
 104.41 104.33 104.1  103.72 104.56 104.49 104.56 110.06 110.67 110.13
 110.89 110.59 110.74 110.51 110.44 110.36 110.44 114.71 114.63 114.4
 114.56 114.71 114.48 114.33 114.33 114.25 114.86  99.37  99.15  98.99
  99.22  98.99  99.3   99.22  98.84  98.92  99.07  99.45  99.22  98.76
  98.76  98.92  99.37  98.99  99.15  99.3  101.74 101.89 101.66 101.43
 101.59 101.74 101.51 101.28 101.82 101.51 104.18 104.41 104.03 104.49
 104.33 104.49 104.64 104.56 104.26 104.03 110.74 110.67 110.67 110.67
 110.67 111.05 110.74 110.51 110.21 110.44 114.86 114.56 114.71 114.71
 114.71 114.18 114.63 114.48 114.4  114.63  99.15  99.15  99.37  99.22
  99.3   99.37  98.99  99.45  99.22  99.07  99.22  99.07  99.3   99.3
  99.22  98.99  99.45  99.15  99.22 101.66 101.51 101.82 101.74 101.82
 101.43 101.66 101.59 101.97 101.66 101.97 102.12 101.97 101.66]",915,0,5,0.3,0.3
1,Tag2,Tag1,1757344901.8102555,1757344903.1121042,"[79.61 70.15 69.7  69.54 69.92 70.08 70.15 69.54 69.92 75.8  75.8  75.04
 75.42 75.49 75.8  75.34 75.49 75.11 75.88 74.04 74.43 74.27 74.65 74.27
 74.12 74.12 73.82 73.74 74.96 87.01 86.94 86.56 87.01 86.71 86.94 87.01
 86.56 87.4  88.85 89.46 89.3  89.3  90.45 89.61 89.91 89.3  89.53 89.46
 87.01 86.71 87.01 86.56 86.63 87.17 86.4  86.48 87.24 86.63 69.7  70.31
 70.31 69.92 69.62 69.7  69.54 69.92 69.54 70.08 77.25 76.18 75.49 75.19
 75.65 75.27 75.11 75.49 75.34 75.88 73.82 74.27 74.27 74.73 74.12 74.2
 75.65 74.88 74.43 74.43 87.09 87.4  86.71 86.48 86.56 87.09 87.01 86.94
 87.09 89.15 89.23 89.91 89.91 89.76 89.53 89.91 89.15 89.68 89.91 86.18
 86.56 86.33 86.63 87.01 86.02 86.4  86.25 87.85 86.48 69.92 69.7  69.54
 69.54 71.22 70.53 69.77 69.47 70.23 70.31 75.34 75.57 75.19 75.8  75.27
 74.96 75.27 75.88 75.42 75.19 74.43 75.34 74.5  74.58 73.97 74.73 74.5
 74.73 75.95 86.48 86.71 86.71 86.79 86.4  86.63 88.24 87.24 87.01 86.25
 89.3  89.84 89.99 89.99 89.07 89.23 88.77 89.38 89.53 91.06 87.09 86.25
 86.79 86.33 86.71 86.79 86.71 86.63 86.79 86.94 69.85 69.7  70.31 70.99
 69.7  69.92 70.23 70.23 69.77 69.85 75.72 75.49 75.88 75.42 75.57 75.49
 76.64 75.8  75.49 75.57 74.2  74.43 74.27 74.43 74.5  74.04 74.2  74.27
 74.73 87.55 87.17 86.56 87.32 87.47 86.86 87.55 87.01 87.17 87.32 90.14
 90.3  89.84 89.46 89.46 90.07 89.46 89.99 89.68 89.68 86.71 87.09 87.24
 86.48 87.55 86.86 86.56 86.94 86.94 86.25 69.92 70.23 69.62 69.77 71.22
 69.92 70.15 70.   69.54 70.   76.18 75.19 75.95 76.18 76.18 75.49 75.72
 75.88 75.8  75.65 74.65 74.81 74.88 74.43 74.96 74.73 74.35 74.96 74.65
 86.71 87.09 86.63 86.79 86.56 86.25 86.48 86.71 87.17 87.01 90.3  90.07
 89.61 90.14 89.68 89.23 89.68 89.3  89.46 89.53 86.33 87.55 86.71 86.63
 86.56 87.01 86.86 86.86 86.79 87.17 87.09 86.25 86.71]",915,0,5,0.3,0.3
2,Tag1,Tag2,1757345029.1027634,1757345030.4058013,"[121.58 122.57 122.64 122.72 122.11 122.42 122.57 121.96 122.42 122.49
 128.98 128.6  129.05 128.98 128.75 129.28 129.05 128.67 128.52 128.75
 129.74 129.43 129.82 129.74 129.51 129.43 129.74 129.36 129.51 129.82
 114.56 114.4  114.79 114.56 114.86 114.79 114.63 114.79 115.01 114.56
 115.55 115.55 115.09 115.4  115.32 115.78 115.7  115.01 115.32 115.55
 119.82 119.36 119.21 118.98 119.44 119.36 119.44 119.52 118.98 122.19
 122.42 122.49 122.19 122.26 122.49 122.42 122.34 122.19 122.49 128.9
 129.28 128.52 128.67 128.82 129.13 129.05 128.9  129.05 128.98 129.43
 129.51 129.51 129.59 129.74 129.66 129.59 129.74 129.74 129.28 115.01
 114.79 114.63 114.94 114.86 114.56 115.01 114.63 114.71 114.33 115.32
 115.78 115.78 115.47 115.24 115.47 115.55 115.55 115.24 115.4  119.29
 119.36 119.29 119.36 119.13 119.44 119.13 119.13 119.13 122.42 121.88
 122.26 122.42 122.11 121.81 122.03 122.34 122.57 122.64 128.82 128.52
 128.82 128.82 128.9  128.6  128.9  128.98 128.75 128.82 129.74 129.51
 129.59 129.59 129.74 129.36 129.74 129.36 129.89 129.74 114.48 114.33
 114.71 114.71 114.71 115.01 114.4  114.63 114.79 114.79 115.32 115.47
 115.93 115.63 115.63 115.85 115.78 115.55 115.47 119.67 119.44 119.29
 119.29 119.29 119.21 119.36 119.29 119.44 119.36 122.42 122.19 122.49
 122.03 122.57 122.26 122.34 122.49 122.57 122.49 128.75 129.13 128.82
 128.6  128.98 128.82 129.05 128.75 128.9  129.28 129.51 130.12 130.12
 129.51 129.43 129.51 129.66 129.89 129.66 129.82 114.94 114.63 115.24
 114.4  115.32 114.63 114.79 115.01 114.94 114.86 115.78 115.78 115.78
 115.4  115.32 115.63 115.7  115.78 115.93 119.67 118.98 119.36 118.83
 119.06 119.52 119.06 119.29 119.59 119.29 122.26 122.49 122.42 122.03
 122.19 122.42 121.96 122.26 122.34 122.49 129.05 128.67 128.67 128.75
 128.67 128.98 129.05 128.6  129.13 128.6  129.82 129.43 129.82 129.74
 129.43 129.59 129.36 129.36 129.51 129.59 114.56 114.71 114.71 114.63
 114.56 115.24 115.01 115.01 114.63 115.7  115.17 115.4  115.24 115.47
 115.55 115.47 115.47 115.4  115.32 119.59 119.21 118.91 118.98 119.52
 119.13 119.44 119.44 119.36 119.29 119.29 119.36 119.13 119.06]",915,1,5,0.32,0.32
3,Tag2,Tag1,1757345031.6514878,1757345032.9505363,"[80.83 64.74 64.74 64.66 65.04 64.74 64.58 65.04 65.12 64.28 67.64 67.56
 67.03 67.86 67.79 67.56 67.41 67.25 67.71 67.56 75.95 76.71 76.33 76.49
 76.18 76.03 76.33 76.79 76.56 86.4  87.32 86.4  87.01 87.24 86.63 86.79
 86.86 87.09 87.24 85.34 85.18 85.03 85.56 85.56 85.56 85.72 86.18 86.02
 86.25 79.23 78.77 79.46 79.31 78.7  79.   78.93 78.85 78.7  79.23 64.66
 64.66 64.89 64.89 65.04 64.97 64.74 65.04 65.04 65.58 67.41 67.48 67.1
 67.71 67.79 66.72 67.41 68.02 67.64 66.95 76.64 76.56 76.03 76.94 76.26
 76.1  76.56 77.02 77.1  87.17 87.01 87.17 87.09 86.86 87.01 87.09 87.09
 86.94 87.01 85.72 85.72 86.02 85.26 85.18 85.49 85.95 85.87 85.56 85.72
 79.08 79.16 79.46 78.39 78.93 78.47 78.7  78.55 78.32 79.   64.81 65.19
 64.97 64.74 65.04 64.89 64.74 65.04 65.58 64.97 67.71 67.56 67.03 67.86
 67.79 67.41 67.25 67.18 67.64 67.18 76.41 77.02 76.1  76.41 76.71 76.56
 76.87 76.71 76.64 86.86 86.71 86.63 87.09 86.4  86.86 86.56 87.24 86.48
 86.56 85.26 85.64 85.56 85.56 85.56 85.87 85.72 85.56 85.79 85.18 78.7
 78.77 79.   78.77 79.23 79.   79.   78.62 79.31 79.16 65.42 65.19 65.04
 64.74 65.12 65.27 64.58 65.27 65.12 64.81 68.32 67.25 67.1  67.18 67.41
 67.33 67.41 67.41 67.41 76.79 76.64 76.56 75.95 76.41 76.87 77.4  76.18
 76.49 76.03 86.94 87.09 87.24 86.86 86.86 86.56 86.56 86.18 86.86 87.01
 85.11 85.49 85.72 85.41 85.56 85.56 85.26 85.49 85.18 85.26 78.55 79.08
 79.39 79.   79.08 79.08 78.77 79.   78.93 79.23 65.19 64.89 64.66 64.74
 65.04 65.04 65.19 65.04 65.19 64.58 67.33 67.41 67.33 67.56 67.18 67.48
 68.25 67.18 67.64 76.26 76.18 76.49 76.26 76.26 76.41 76.41 76.18 76.87
 76.18 87.01 87.62 87.09 87.01 87.24 86.48 86.79 87.17 86.94 86.48 85.41
 85.41 85.34 85.64 85.72 85.41 85.79 85.11 85.41 85.34 79.08 79.69 79.31
 78.93 79.   79.   78.85 79.08 78.77 79.23 79.61 78.93 78.7 ]",915,1,5,0.32,0.32
4,Tag1,Tag2,1757345161.1897452,1757345162.4976418,"[141.72 141.34 141.34 141.11 141.57 141.57 140.88 141.34 141.03 140.96
 147.97 147.52 147.9  147.67 148.28 148.2  147.97 147.9  147.82 148.05
 145.08 145.23 145.   145.   144.77 144.92 145.   144.62 145.23 144.85
 131.34 131.49 131.49 131.57 131.19 131.65 131.72 131.04 131.27 131.65
 133.02 133.17 133.1  132.87 133.17 133.02 133.1  132.79 132.79 132.87
 138.13 137.9  137.83 137.6  137.75 138.06 137.9  137.98 137.45 137.83
 141.49 141.11 141.11 141.18 141.26 141.34 141.18 141.11 141.64 147.44
 147.52 147.82 147.67 147.59 147.67 148.05 147.52 147.75 147.9  144.85
 144.85 144.92 145.15 144.85 144.54 144.85 144.92 145.08 145.23 131.19
 131.57 131.19 131.34 131.49 131.65 131.49 130.96 131.19 131.49 132.94
 132.79 132.87 132.87 132.94 132.72 133.1  133.02 132.87 132.94 137.9
 137.98 137.75 138.28 137.9  137.75 137.9  137.9  137.6  141.34 140.88
 141.57 141.41 141.34 140.8  141.49 141.34 141.11 141.41 147.67 147.59
 147.36 148.28 147.82 148.05 147.9  147.52 147.9  147.82 145.23 144.85
 144.85 144.85 144.54 144.92 145.23 145.08 144.92 145.15 131.11 131.11
 130.96 131.11 131.27 131.27 131.42 131.11 131.04 131.57 132.72 133.02
 133.55 133.02 132.87 133.02 132.64 133.17 133.02 132.72 137.75 137.29
 137.75 138.21 137.67 137.29 137.9  137.98 138.21 141.26 141.41 141.49
 140.96 141.49 140.96 141.11 141.34 140.96 140.96 148.05 147.97 147.59
 147.67 147.44 147.52 147.82 147.44 147.29 147.44 144.62 145.   145.08
 145.   144.54 145.08 145.08 144.85 145.08 144.92 131.65 131.42 131.19
 131.27 131.11 131.27 131.19 131.04 131.57 131.04 133.17 133.02 133.17
 132.87 133.02 133.02 132.72 132.49 133.17 133.25 137.75 138.06 137.98
 137.83 137.75 138.06 137.75 137.83 137.83 141.49 141.03 140.88 141.03
 140.73 140.96 141.41 141.26 141.26 141.26 147.9  147.29 147.59 147.59
 147.36 147.59 147.67 147.52 147.67 147.9  144.62 144.85 144.92 145.
 145.   145.   145.08 145.08 145.23 145.15 131.11 131.11 131.27 131.72
 131.11 131.19 131.04 131.65 131.65 131.57 133.1  132.72 132.87 132.49
 132.56 133.02 133.02 132.87 133.1  137.6  138.06 137.6  137.98 137.9
 137.9  137.98 138.06 137.98 138.21 138.13 137.83 137.67 137.83]",915,2,5,0.34,0.34
5,Tag2,Tag1,1757345163.738241,1757345165.0371523,"[86.02 70.38 69.62 68.86 69.47 69.09 69.39 69.39 70.53 69.16 68.17 67.94
 68.78 68.55 68.02 68.4  68.09 68.09 69.39 69.01 84.88 85.72 85.95 85.87
 86.18 85.79 86.18 85.64 85.87 91.97 91.44 92.13 92.13 92.2  91.36 91.59
 91.82 92.43 92.28 86.33 87.24 87.17 87.47 86.94 86.63 86.63 86.63 86.71
 89.07 78.62 77.63 78.09 78.39 77.63 78.24 78.16 78.77 79.16 79.31 70.38
 70.   69.54 69.16 69.54 70.   69.39 69.7  69.54 69.39 68.55 69.16 69.01
 68.25 68.78 68.93 68.4  69.85 69.09 86.02 85.26 85.87 85.49 86.18 86.1
 85.95 86.1  86.48 85.79 92.58 92.97 91.82 91.82 91.74 92.66 92.2  92.36
 91.97 92.2  86.71 86.79 87.09 87.17 86.79 87.32 87.09 86.86 86.79 86.71
 78.01 78.47 78.24 78.24 77.94 78.01 77.4  78.7  77.71 78.24 69.01 69.62
 69.16 68.86 68.86 69.09 68.86 69.47 69.39 69.24 68.09 68.02 68.02 68.55
 68.02 67.86 68.4  68.32 70.92 86.94 85.11 84.95 85.72 85.72 85.49 85.72
 85.56 87.01 86.25 91.9  92.13 91.9  92.2  92.58 91.52 91.9  91.9  91.82
 92.2  86.1  87.09 86.1  86.18 86.71 86.63 86.25 86.33 87.24 86.02 77.17
 78.39 78.09 78.16 77.94 78.01 77.25 77.63 77.33 78.47 70.38 70.76 69.31
 69.39 69.24 69.7  69.47 69.54 69.7  68.78 68.25 69.77 69.09 68.09 68.17
 68.47 69.54 68.32 68.09 85.11 85.72 85.41 84.95 84.8  85.56 86.33 85.34
 85.72 85.95 91.44 91.74 91.82 92.36 91.67 91.74 92.05 93.65 92.81 91.59
 86.94 87.01 86.71 86.63 86.18 87.24 86.79 86.4  86.94 87.09 78.01 78.39
 78.62 78.09 78.32 78.09 77.33 77.55 78.16 78.55 68.86 69.54 70.08 69.24
 69.39 69.39 69.47 69.01 69.09 68.78 68.55 67.94 69.09 69.16 68.4  67.86
 67.94 67.94 67.79 85.34 86.25 85.26 85.41 85.64 85.64 85.72 86.33 85.72
 85.95 91.97 92.36 92.51 92.13 91.67 91.9  91.67 91.74 92.28 91.74 86.02
 87.32 87.09 87.09 86.79 87.55 87.09 86.33 87.62 87.24 79.31 78.24 78.39
 78.16 78.62 78.85 78.09 78.01 78.7  78.39 78.77 78.16 77.63]",915,2,5,0.34,0.34
6,Tag1,Tag2,1757345387.9575782,1757345389.265934,"[157.05 162.55 162.62 163.23 162.7  162.47 162.93 162.93 163.08 163.23
 168.65 168.96 168.42 168.88 168.96 169.03 168.96 168.35 168.42 169.11
 160.56 160.49 160.72 160.33 160.79 161.02 160.49 161.02 160.33 160.56
 150.11 150.42 150.49 150.03 150.34 150.19 150.11 150.49 150.19 150.19
 152.7  152.7  153.01 153.32 152.78 152.55 152.78 152.93 152.93 153.16
 159.19 159.27 159.42 159.34 158.73 158.81 159.04 159.19 158.81 162.47
 163.08 162.78 162.7  162.17 162.62 162.7  162.93 162.24 162.55 168.35
 168.5  168.42 168.57 169.03 168.73 169.03 168.27 168.88 168.96 160.26
 160.41 160.72 160.49 160.79 160.94 160.79 160.64 160.56 160.72 150.49
 150.64 149.73 150.42 150.8  150.11 150.34 150.42 150.19 150.42 152.93
 152.7  152.86 152.93 152.93 152.86 153.32 153.01 152.4  152.93 159.19
 158.35 159.04 158.81 159.04 159.11 158.66 159.19 159.04 162.62 162.85
 163.23 162.78 162.47 162.55 162.39 162.55 162.39 162.32 168.73 168.57
 168.88 168.73 168.73 169.11 168.8  168.5  168.88 168.42 160.72 160.79
 160.64 160.56 160.41 160.41 160.49 160.64 160.56 160.03 150.42 150.49
 150.19 149.88 150.19 150.03 150.34 150.11 150.34 149.96 152.7  153.09
 152.7  152.55 152.7  153.09 152.86 152.93 152.78 153.01 159.34 158.88
 158.73 158.66 158.73 158.88 158.66 158.96 159.27 162.78 162.78 162.24
 162.17 162.78 161.94 162.24 163.84 164.61 164.45 170.41 170.48 170.33
 170.33 170.41 170.86 170.63 170.02 170.18 170.33 162.32 162.62 162.32
 162.32 162.55 162.24 162.17 162.17 162.32 162.32 151.64 152.02 151.71
 151.64 151.79 151.56 151.87 151.41 151.56 151.1  154.   154.31 154.08
 154.54 154.69 154.46 154.54 154.31 154.31 160.56 160.72 160.11 160.33
 160.41 160.79 160.64 160.72 160.79 160.49 164.23 164.15 164.07 164.
 164.53 164.15 164.38 164.15 164.23 164.   170.41 170.41 170.48 170.25
 170.25 170.71 170.63 170.1  170.33 170.48 162.32 162.55 162.01 161.94
 162.32 162.01 162.01 162.55 161.94 162.47 151.87 151.94 152.02 151.79
 152.09 151.87 151.87 151.41 151.71 151.79 154.69 154.31 154.38 154.61
 154.38 154.69 154.54 154.76 154.08 160.49 160.72 160.33 160.56 160.56
 160.41 160.03 160.64 160.49 160.33 160.64 160.79 160.72 160.33]",915,3,5,0.36,0.36
7,Tag2,Tag1,1757345390.503959,1757345391.810562,"[89.76 75.57 76.41 75.95 75.34 75.8  75.49 75.8  75.8  76.1  71.22 71.53
 71.22 71.6  71.3  71.22 71.15 71.91 71.6  71.91 93.42 93.27 94.19 94.49
 94.8  93.88 93.58 94.03 94.34 94.26 93.88 93.88 93.5  94.11 93.88 94.57
 93.96 94.26 94.11 85.64 85.41 86.02 85.95 86.02 85.64 86.18 86.02 86.18
 87.62 76.94 76.64 77.02 76.87 76.49 77.17 76.49 78.39 76.87 76.41 75.57
 76.03 75.57 76.18 76.33 76.49 75.57 76.33 76.94 75.72 71.3  71.6  71.37
 71.22 70.99 70.99 70.92 71.37 71.76 71.83 93.65 94.11 94.11 94.42 94.42
 93.58 93.96 94.03 94.03 94.42 94.34 94.34 95.25 94.57 94.11 94.03 94.03
 94.11 94.64 85.64 85.87 85.56 86.02 85.87 85.34 85.95 86.1  87.32 86.63
 76.71 76.71 76.41 76.87 76.56 76.64 76.94 77.55 76.49 76.64 76.26 75.95
 75.95 75.8  76.18 76.1  75.95 76.18 75.95 76.1  72.21 71.76 71.83 71.3
 71.22 71.45 71.68 71.37 71.22 94.26 94.11 94.19 94.26 93.88 93.88 94.8
 95.79 94.03 94.19 94.19 94.42 93.96 94.26 94.57 94.64 95.18 94.11 95.1
 95.03 85.95 85.72 87.09 86.71 86.48 85.64 85.87 86.02 86.25 86.94 77.4
 76.56 76.41 77.1  77.1  76.56 76.49 77.55 77.1  77.17 76.1  76.56 75.95
 75.8  76.41 76.1  75.88 76.41 76.71 75.72 72.98 71.53 71.83 71.53 71.83
 71.22 71.83 71.6  71.37 94.03 93.96 94.42 94.95 94.34 93.88 94.19 94.03
 94.19 93.96 94.64 94.19 93.96 95.64 94.64 94.64 94.26 94.8  94.72 94.49
 87.24 85.72 86.02 85.49 86.4  86.1  86.25 86.02 86.02 85.79 76.64 76.71
 76.87 77.71 76.94 77.33 77.48 76.64 77.25 76.94 75.8  76.03 76.33 76.03
 75.88 76.87 76.33 75.65 75.8  71.68 71.07 71.53 72.21 71.45 71.91 71.98
 71.37 71.91 71.68 93.96 94.03 93.73 94.19 94.19 93.96 94.26 94.34 94.64
 94.34 94.42 93.8  93.96 94.34 94.34 96.48 95.18 95.48 94.64 94.26 86.4
 85.95 86.02 85.95 85.79 86.02 85.56 85.34 86.33 86.1  76.71 76.87 77.33
 77.1  77.17 76.94 76.71 77.48 77.17 77.1  77.25 77.1  76.64 77.33]",915,3,5,0.36,0.36
